plot_date,RR_7d_rolling_mean,ss_7d_rolling_mean
1900-01-01,11.785428058254146,3.5546086807928914
1900-01-02,12.002255490081577,3.3626343130553655
1900-01-03,12.888546241734646,3.308028594212805
1900-01-04,12.235896778629698,3.3953170263320636
1900-01-05,9.81165328813005,3.463127786999967
1900-01-06,11.343166515643277,3.5093615532337337
1900-01-07,12.402865512298797,3.379305894606646
1900-01-08,12.8614672553833,3.274965498160987
1900-01-09,14.311846827501999,3.430819418676561
1900-01-10,13.694211359521704,3.3952999381570805
1900-01-11,15.415844012582928,3.089332096474954
1900-01-12,16.704373217368293,2.9802411873840446
1900-01-13,16.646404963400038,2.812059369202226
1900-01-14,20.88134594834102,2.633673469387755
1900-01-15,22.865601348113664,2.492764378478664
1900-01-16,21.160839443351758,2.3077922077922075
1900-01-17,21.02482411768126,2.3175974025974027
1900-01-18,20.443191464620035,2.465
1900-01-19,19.945685795685794,2.4666883116883116
1900-01-20,20.598511192511193,2.4614935064935066
1900-01-21,15.741738705738706,2.693311688311688
1900-01-22,14.872277521761392,2.7543506493506493
1900-01-23,14.982656032139902,2.8147402597402595
1900-01-24,14.872074021557893,2.962077922077922
1900-01-25,14.406767899108912,2.9274458874458875
1900-01-26,13.316596958937975,2.982683982683983
1900-01-27,12.752131350472366,3.239177489177489
1900-01-28,12.277617892915428,3.1081941867656155
1900-01-29,12.859645542685014,3.029622758194187
1900-01-30,14.586799034354636,2.8433209647495366
1900-01-31,15.882103267158868,2.7913729128014846
1900-02-01,16.53460150783445,2.8195114409400124
1900-02-02,17.977682500915442,2.922325293753865
1900-02-03,17.378266335982033,2.7073283858998147
1900-02-04,17.343017888777066,2.9610698824984536
1900-02-05,16.92493493946831,3.166264687693259
1900-02-06,16.45450748038679,3.644774273345702
1900-02-07,17.76200748038679,3.7612554112554113
1900-02-08,16.71001944379284,3.981416202844774
1900-02-09,16.786282899366643,3.950030921459493
1900-02-10,16.59263406052076,4.28748169124109
1900-02-11,18.17972197260867,3.941801419132246
1900-02-12,17.105161126047825,4.054633824821795
1900-02-13,17.102077747102378,3.906192266380237
1900-02-14,15.826465502204416,3.8364643752237737
1900-02-15,16.26488779419814,3.7296616541353385
1900-02-16,16.38015873015873,3.8153759398496243
1900-02-17,16.9031179138322,3.5779251700680272
1900-02-18,17.558649049363336,3.8484890798424636
1900-02-19,18.074087446944592,3.7682169709989255
1900-02-20,17.505060177917322,3.917957230739186
1900-02-21,15.857529565672422,4.049385802167757
1900-02-22,17.574855572998434,4.298365394004492
1900-02-23,17.52460926757971,4.283578426585946
1900-02-24,16.916973799599415,4.376367542232204
1900-02-25,17.686167938793552,4.420089346743483
1900-02-26,17.158177087280535,4.167399179767601
1900-02-27,16.172462801566247,3.9814684438368646
1900-02-28,16.122858405961853,3.910566188197767
1900-03-01,14.342895035998485,3.7085253718712363
1900-03-02,14.759127735975028,3.716044168863718
1900-03-03,14.638191775383891,3.7987652572990913
1900-03-04,11.927569064761185,3.8356019919929696
1900-03-05,11.07304600161743,4.016863587540279
1900-03-06,11.123639408210837,4.018054063730756
1900-03-07,10.717815232386661,4.0326978159684925
1900-03-08,9.569683364254795,4.0535698011261925
1900-03-09,8.267982683982684,4.113899196042054
1900-03-10,8.565808770939205,4.036348175633891
1900-03-11,7.841566346696781,4.031729486052794
1900-03-12,8.14935855448899,4.1167016567392505
1900-03-13,7.869358554488989,4.302415942453536
1900-03-14,8.011920130843668,4.350817302997753
1900-03-15,8.175083396149791,4.464639195391075
1900-03-16,7.91339508446148,4.3763398756631835
1900-03-17,8.19731502925099,4.410455521921688
1900-03-18,8.317986024921986,4.452489177489178
1900-03-19,7.777269334205294,4.406190476190476
1900-03-20,7.87730874307229,4.391394557823129
1900-03-21,7.294966946937391,4.516319369853205
1900-03-22,8.705681232651676,4.634042248478339
1900-03-23,8.531105808076251,4.5480682225043125
1900-03-24,6.93935977633022,4.573816521824041
1900-03-25,8.475597871568315,4.681539611059735
1900-03-26,8.951351264713013,4.986929221449345
1900-03-27,8.262636531170694,5.072643507163631
1900-03-28,8.3265161298329,5.0278887631607665
1900-03-29,7.315971912145825,4.949621666848557
1900-03-30,7.549174423919765,5.369167121394012
1900-03-31,8.851011158613643,5.5711460948015565
1900-04-01,8.295400769003253,5.584171304885591
1900-04-02,7.836987443198623,5.60394042465471
1900-04-03,7.950948482159662,5.653022057307772
1900-04-04,8.340182436611007,5.641423417851989
1900-04-05,7.8754826436503444,5.557284499126604
1900-04-06,7.230491920088193,5.411765018607125
1900-04-07,5.641798042537173,5.290336447178553
1900-04-08,4.488240730284209,5.115336447178552
1900-04-09,4.6667472237907015,5.107255639097744
1900-04-10,4.296509128552606,5.036858813700919
1900-04-11,4.769723414266893,5.0849415204678365
1900-04-12,4.550494635798984,5.25343418068982
1900-04-13,4.784260869565218,5.206175883431522
1900-04-14,5.309139990444338,5.346305753561393
1900-04-15,6.666857956857958,5.432994065249703
1900-04-16,6.562143671143671,5.393059000314639
1900-04-17,7.293096052096052,5.453829975371328
1900-04-18,9.23200297850298,5.577890125747269
1900-04-19,9.7661147001147,5.341557410843125
1900-04-20,9.369090890590892,5.5523283858998145
1900-04-21,9.048926055426055,5.360899814471243
1900-04-22,7.799210955710955,5.347510822510823
1900-04-23,7.962377622377622,5.248021026592455
1900-04-24,7.493146853146853,5.065893630179344
1900-04-25,4.628211788211788,4.8081014223871374
1900-04-26,4.276123876123876,4.974984539270253
1900-04-27,4.516719114219114,4.788095238095238
1900-04-28,5.176394438894439,4.845238095238096
