DayMonth,RR,ss,RR_7d_rolling_mean,ss_7d_rolling_mean
01-01,24.72142857142857,2.757142857142857,11.785428058254146,3.5546086807928914
02-01,8.207407407407407,2.9899999999999998,12.002255490081577,3.3626343130553655
03-01,6.478260869565218,4.081818181818182,12.888546241734646,3.308028594212805
04-01,7.734615384615385,4.389473684210526,12.235896778629698,3.3953170263320636
05-01,12.869565217391305,2.594736842105263,9.81165328813005,3.463127786999967
06-01,17.32,3.0349999999999997,11.343166515643277,3.5093615532337337
07-01,8.32,3.919047619047619,12.402865512298797,3.379305894606646
08-01,7.751724137931035,3.2318181818181815,12.8614672553833,3.274965498160987
09-01,18.928,3.313636363636364,14.311846827501999,3.430819418676561
10-01,13.896153846153847,3.1714285714285713,13.694211359521704,3.3952999381570805
11-01,10.944827586206896,3.659090909090909,15.415844012582928,3.089332096474954
12-01,23.022222222222222,3.685714285714286,16.704373217368293,2.9802411873840446
13-01,12.99655172413793,2.786363636363636,16.646404963400038,2.812059369202226
14-01,20.37142857142857,1.7772727272727273,20.88134594834102,2.633673469387755
15-01,16.771428571428572,2.4681818181818183,22.865601348113664,2.492764378478664
16-01,18.522222222222222,2.1363636363636362,21.160839443351758,2.3077922077922075
17-01,43.54074074074074,1.9227272727272726,21.02482411768126,2.3175974025974027
18-01,24.834615384615386,2.6727272727272724,20.443191464620035,2.465
19-01,11.08888888888889,2.390909090909091,19.945685795685794,2.4666883116883116
20-01,12.044444444444444,2.855,20.598511192511193,2.4614935064935066
21-01,16.3,2.809090909090909,15.741738705738706,2.693311688311688
22-01,13.28888888888889,2.48,14.872277521761392,2.7543506493506493
23-01,23.092000000000002,2.1,14.982656032139902,2.8147402597402595
24-01,9.543333333333333,3.5454545454545454,14.872074021557893,2.962077922077922
25-01,18.748387096774195,3.1,14.406767899108912,2.9274458874458875
26-01,11.86153846153846,2.8136363636363635,13.316596958937975,2.982683982683983
27-01,11.27037037037037,3.8863636363636362,12.752131350472366,3.239177489177489
28-01,13.042857142857143,2.566666666666667,12.277617892915428,3.1081941867656155
29-01,5.657692307692307,2.8666666666666667,12.859645542685014,3.029622758194187
30-01,19.14074074074074,3.8954545454545455,14.586799034354636,2.8433209647495366
31-01,6.221739130434782,2.6285714285714286,15.882103267158868,2.7913729128014846
01-02,22.822580645161292,2.5500000000000003,16.53460150783445,2.8195114409400124
02-02,23.951612903225808,1.5095238095238095,17.977682500915442,2.922325293753865
03-02,20.337500000000002,3.522727272727273,17.378266335982033,2.7073283858998147
04-02,17.610344827586207,2.7636363636363637,17.343017888777066,2.9610698824984536
05-02,15.75925925925926,3.5863636363636364,16.92493493946831,3.166264687693259
06-02,14.944827586206896,2.3904761904761904,16.45450748038679,3.644774273345702
07-02,5.975,4.404761904761905,17.76200748038679,3.7612554112554113
08-02,19.896,3.9863636363636363,16.71001944379284,3.981416202844774
09-02,20.658620689655173,4.859090909090909,16.786282899366643,3.950030921459493
10-02,29.49,4.338095238095238,16.59263406052076,4.28748169124109
11-02,10.24642857142857,4.3047619047619055,18.17972197260867,3.941801419132246
12-02,16.29310344827586,3.3666666666666667,17.105161126047825,4.054633824821795
13-02,13.589285714285714,4.752631578947368,17.102077747102378,3.906192266380237
14-02,17.084615384615383,1.985,15.826465502204416,3.8364643752237737
15-02,12.374074074074075,4.776190476190476,16.26488779419814,3.7296616541353385
16-02,20.637037037037036,3.8200000000000003,16.38015873015873,3.8153759398496243
17-02,20.560714285714283,3.85,16.9031179138322,3.5779251700680272
18-02,13.315384615384614,3.5571428571428574,17.558649049363336,3.8484890798424636
19-02,17.1,3.9666666666666663,18.074087446944592,3.7682169709989255
20-02,17.25,3.0904761904761906,17.505060177917322,3.917957230739186
21-02,21.673333333333336,3.878947368421053,15.857529565672422,4.049385802167757
22-02,15.982142857142858,4.214285714285714,17.574855572998434,4.298365394004492
23-02,16.653846153846153,4.868181818181818,17.52460926757971,4.283578426585946
24-02,9.027999999999999,4.7700000000000005,16.916973799599415,4.376367542232204
25-02,25.336666666666666,5.3,17.686167938793552,4.420089346743483
26-02,16.748275862068965,3.8631578947368426,17.158177087280535,4.167399179767601
27-02,12.996551724137932,3.7399999999999998,16.172462801566247,3.9814684438368646
28-02,27.057692307692307,4.1850000000000005,16.122858405961853,3.910566188197767
01-03,12.286206896551725,2.4454545454545453,14.342895035998485,3.7085253718712363
02-03,9.753846153846155,3.566666666666667,14.759127735975028,3.716044168863718
03-03,8.680769230769231,4.273684210526316,14.638191775383891,3.7987652572990913
04-03,12.876923076923077,3.8857142857142852,11.927569064761185,3.8356019919929696
05-03,19.66190476190476,3.9157894736842107,11.07304600161743,4.016863587540279
06-03,12.149999999999999,4.319047619047619,11.123639408210837,4.018054063730756
07-03,8.083333333333334,4.442857142857143,10.717815232386661,4.0326978159684925
08-03,6.304545454545454,3.7142857142857144,9.569683364254795,4.0535698011261925
09-03,10.107999999999999,3.575,8.267982683982684,4.113899196042054
10-03,5.84,4.376190476190477,8.565808770939205,4.036348175633891
11-03,4.84,4.031818181818182,7.841566346696781,4.031729486052794
12-03,10.55,4.338095238095238,8.14935855448899,4.1167016567392505
13-03,14.234782608695651,3.776190476190476,7.869358554488989,4.302415942453536
14-03,3.0136363636363637,4.410526315789474,8.011920130843668,4.350817302997753
15-03,8.459090909090909,4.309090909090909,8.175083396149791,4.464639195391075
16-03,8.148,4.875,7.91339508446148,4.3763398756631835
17-03,6.837931034482759,4.715,8.19731502925099,4.410455521921688
18-03,5.982142857142857,4.828571428571429,8.317986024921986,4.452489177489178
19-03,8.718181818181819,3.72,7.777269334205294,4.406190476190476
20-03,16.22222222222222,4.015,7.87730874307229,4.391394557823129
21-03,3.858333333333333,4.704761904761905,7.294966946937391,4.516319369853205
22-03,4.674074074074074,3.9850000000000003,8.705681232651676,4.634042248478339
23-03,8.848275862068967,4.771428571428571,8.531105808076251,4.5480682225043125
